Repositorio;Anos;nº PullRequests;nº Releases;Último Update (dd);Linguagem Mais Comum;Issues Fechadas ( % );Estrelas
youngyangyang04/leetcode-master;4.24;1990;0;0;Shell;29.13;45915
cypress-io/cypress;9.02;5895;331;0;JavaScript;90.11;45914
etcd-io/etcd;10.68;8327;231;0;Go;96.87;45904
algorithm-visualizer/algorithm-visualizer;7.82;183;0;0;JavaScript;66.67;45904
ollama/ollama;0.7;805;50;0;Go;64.08;45864
jgraph/drawio-desktop;6.79;19;128;0;JavaScript;86.94;45825
minimaxir/big-list-of-naughty-strings;8.59;90;0;0;Python;33.68;45756
iamadamdev/bypass-paywalls-chrome;5.92;132;33;0;JavaScript;100.0;45747
ultralytics/yolov5;3.81;2068;10;0;Python;98.65;45650
sharkdp/bat;5.89;1270;40;0;Rust;82.65;45635
mozilla/pdf.js;12.88;6994;59;0;JavaScript;96.29;45619
mastodon/mastodon;8.05;13925;242;0;Ruby;65.72;45583
iamkun/dayjs;5.92;682;116;0;JavaScript;51.89;45425
vsouza/awesome-ios;9.67;2212;0;0;Swift;99.58;45352
TryGhost/Ghost;10.85;10330;752;0;JavaScript;99.44;45332
ethereum/go-ethereum;10.21;6976;190;0;Go;96.68;45274
square/okhttp;11.63;3327;0;0;Kotlin;97.41;45104
golang-standards/project-layout;6.5;79;0;0;Makefile;39.62;45037
tiimgreen/github-cheat-sheet;9.91;129;0;0;;70.31;44955
FiloSottile/mkcert;5.71;52;14;0;Go;71.3;44938
ziishaned/learn-regex;6.64;124;0;0;;41.18;44934
iperov/DeepFaceLab;5.77;32;2;0;Python;59.69;44808
labmlai/annotated_deep_learning_paper_implementations;3.54;92;0;0;Jupyter Notebook;73.28;44685
v2ray/v2ray-core;8.52;203;247;0;Go;99.53;44513
charlax/professional-programming;8.34;36;0;0;Python;100.0;44250
JuliaLang/julia;12.89;22987;154;0;Julia;84.19;44202
abi/screenshot-to-code;0.32;31;0;0;TypeScript;66.85;43988
meteor/meteor;12.15;2075;0;0;JavaScript;97.43;43988
gogs/gogs;10.08;1650;78;0;Go;82.75;43885
marktext/marktext;6.32;937;36;0;JavaScript;60.04;43869
karan/Projects;10.68;19;0;0;;46.48;43845
BurntSushi/ripgrep;8.0;492;71;0;Rust;94.77;43834
ngosang/trackerslist;7.88;1;0;0;;98.81;43777
vuejs/core;5.74;2371;198;0;TypeScript;85.3;43724
typescript-cheatsheets/react;5.77;351;0;0;JavaScript;99.0;43712
android/architecture-samples;8.09;222;0;0;Kotlin;71.79;43691
jesseduffield/lazygit;5.81;1216;148;0;Go;66.69;43588
